         Time[s],            X[m],            Y[m],          u[m/s],          v[m/s],        Yaw[deg],  yawrate[deg/s],        rud[deg],        cpp[deg],         log[kt],      o_rud[deg],      o_cpp[deg],
 0.00000000e+000,-4.80000000e+002,-4.67200000e+002, 4.94536255e+000, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000, 1.00000000e+001, 9.61301576e+000, 1.37731459e+001, 1.00000000e+001,
 1.00000000e+000,-4.75054648e+002,-4.67200392e+002, 4.94527195e+000,-2.42767831e-003, 2.44359367e-002, 4.44633164e-003, 3.74442932e+000, 1.00000000e+001, 9.61284079e+000, 1.39643023e+001, 1.00000000e+001,
 2.00000000e+000,-4.70109574e+002,-4.67204202e+002, 4.94456312e+000,-1.15257281e-002, 1.01257892e-001, 5.47702888e-002, 7.03156599e+000, 1.00000000e+001, 9.61148789e+000, 1.30617191e+001, 1.00000000e+001,
 3.00000000e+000,-4.65165555e+002,-4.67212531e+002, 4.94286263e+000,-2.70002200e-002, 2.10145039e-001, 1.95805581e-001, 8.99528398e+000, 1.00000000e+001, 9.60829965e+000, 6.69890150e+000, 1.00000000e+001,
 4.00000000e+000,-4.60223336e+002,-4.67221989e+002, 4.94089914e+000,-4.51612664e-002, 3.08403242e-001, 4.45096460e-001, 9.10617262e+000, 1.00000000e+001, 9.60474076e+000, 9.98359022e+000, 1.00000000e+001,
 5.00000000e+000,-4.55282996e+002,-4.67225659e+002, 4.93863077e+000,-6.51525611e-002, 3.98794288e-001, 7.88600222e-001, 9.22842942e+000, 1.00000000e+001, 9.60076557e+000, 8.49980875e+000, 1.00000000e+001,
 6.00000000e+000,-4.50344695e+002,-4.67217039e+002, 4.93639274e+000,-8.50550610e-002, 4.69309014e-001, 1.21597495e+000, 8.41115534e+000, 1.00000000e+001, 9.59700410e+000, 7.22124010e+000, 1.00000000e+001,
 7.00000000e+000,-4.45408306e+002,-4.67188835e+002, 4.93436471e+000,-1.03284404e-001, 5.15984091e-001, 1.70460279e+000, 7.42644620e+000, 1.00000000e+001, 9.59373864e+000, 6.22747548e+000, 1.00000000e+001,
 8.00000000e+000,-4.40473740e+002,-4.67134606e+002, 4.93250840e+000,-1.19226162e-001, 5.43300833e-001, 2.23218084e+000, 6.46847296e+000, 1.00000000e+001, 9.59082984e+000, 5.37778844e+000, 1.00000000e+001,
 9.00000000e+000,-4.35541066e+002,-4.67049240e+002, 4.93077312e+000,-1.32674973e-001, 5.56245482e-001, 2.78128705e+000, 5.59862871e+000, 1.00000000e+001, 9.58812526e+000, 4.64888815e+000, 1.00000000e+001,
 1.00000000e+001,-4.30610508e+002,-4.66928631e+002, 4.92912607e+000,-1.43644887e-001, 5.58984407e-001, 3.33923223e+000, 4.82743591e+000, 1.00000000e+001, 9.58552226e+000, 4.00457110e+000, 1.00000000e+001,
 1.10000000e+001,-4.25682351e+002,-4.66770134e+002, 4.92755309e+000,-1.52295886e-001, 5.54678642e-001, 3.89703407e+000, 4.14562143e+000, 1.00000000e+001, 9.58297068e+000, 3.42871621e+000, 1.00000000e+001,
 1.20000000e+001,-4.20756945e+002,-4.66571787e+002, 4.92605317e+000,-1.58826887e-001, 5.45475940e-001, 4.44853514e+000, 3.54181064e+000, 1.00000000e+001, 9.58045718e+000, 2.91877675e+000, 1.00000000e+001,
 1.30000000e+001,-4.15834655e+002,-4.66332285e+002, 4.92463150e+000,-1.63458033e-001, 5.32883141e-001, 4.98945495e+000, 3.00923386e+000, 1.00000000e+001, 9.57798951e+000, 2.46837637e+000, 1.00000000e+001,
 1.40000000e+001,-4.10915843e+002,-4.66050866e+002, 4.92329533e+000,-1.66416037e-001, 5.17992518e-001, 5.51684874e+000, 2.54118298e+000, 1.00000000e+001, 9.57558616e+000, 2.07283915e+000, 1.00000000e+001,
